outlet_a,group_a,outlet_b,group_b,shared_clusters,jaccard
_generic_ukraine_media,ukraine,wartranslated,independent,4,0.0195
colonel_cassad,ru_state,nach_shtabu,ru_state,2,0.0194
colonel_cassad,ru_state,rezident_ua,ru_state,2,0.0194
_generic_russian_language_ee,ru_proxy,err_business,trusted,1,0.0192
_generic_t1,trusted,lenta_ru,ru_state,2,0.0192
breaking_defense,trusted,sternenko,ukraine,1,0.0192
nach_shtabu,ru_state,truexanewsua,ukraine,1,0.0192
rezident_ua,ru_state,truexanewsua,ukraine,1,0.0192
TCH_channel,ukraine,mke_ee,trusted,1,0.0189
TCH_channel,ukraine,postimees_rus,trusted,1,0.0189
TCH_channel,ukraine,wargonzo,ru_state,1,0.0189
_generic_russian_independent,independent,dva_majors,ru_state,1,0.0189
nexta_live,independent,yle_en,unknown,1,0.0189
postimees_et,trusted,sternenko,ukraine,1,0.0189
spravdi,trusted,suspilne_news,ukraine,1,0.0189
15min_lt,trusted,TCH_channel,ukraine,1,0.0185
colonel_cassad,ru_state,montyan,ru_state,2,0.0185
colonel_cassad,ru_state,postimees_et,trusted,2,0.0185
gerashchenko,ukraine,tvnet,unknown,1,0.0185
insider_ua,ukraine,wargonzo,ru_state,1,0.0185
nach_shtabu,ru_state,wartranslated,independent,1,0.0185
readovkanews,ru_state,rezident_ua,ru_state,1,0.0185
rybar,ru_state,spravdi,trusted,1,0.0185
spravdi,trusted,truexanewsua,ukraine,1,0.0185
tass_ru,ru_state,uniannet,ukraine,2,0.0183
15min_lt_lt,trusted,nexta_live,independent,1,0.0182
dva_majors,ru_state,kommersant,ru_state,1,0.0182
insider_ua,ukraine,nach_shtabu,ru_state,1,0.0182
interfax,ru_state,lachentyt,ru_state,1,0.0182
pul_1,ru_state,truexanewsua,ukraine,1,0.0182
_generic_t1,trusted,spravdi,trusted,2,0.0180
TCH_channel,ukraine,yurasumy,ru_state,1,0.0179
_generic_russian_independent,independent,lachentyt,ru_state,1,0.0179
delfi_lt_rus,trusted,rybar,ru_state,1,0.0179
err_rus,trusted,rt_russian,ru_state,1,0.0179
operativnoZSU,ukraine,pravda_en,unknown,1,0.0179
