source_type,title,content,url,published_at,region,feed_handle,channel,category
gdelt_gkg,london-now.co.uk,,<PAGE_LINKS>https://www.london-now.co.uk/news/25845827.contemporary-indonesian-restaurant-just-opened-central-london/;https://www.london-now.co.uk/news/25848969.person-dies-firefighters-hospitalised-huge-house-fire/</PAGE_LINKS><PAGE_PRECISEPUBTIMESTAMP>20260216050000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>The London Fire Brigade's  and DJ's 200ft pancake flip</PAGE_TITLE>,2026-02-16T09:00:00,global,www.london-now.co.uk,,other
gdelt_gkg,indianexpress.com,,"<PAGE_LINKS>https://indianexpress.com/section/cities/kolkata/</PAGE_LINKS><PAGE_AUTHORS>Tanusree Bose</PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20260216094100</PAGE_PRECISEPUBTIMESTAMP><PAGE_ALTURL_AMP>https://indianexpress.com/article/cities/kolkata/pm-modi-brigade-parade-ground-mega-rally-bengal-polls-10534952/lite/</PAGE_ALTURL_AMP><PAGE_TITLE>After 5 years, PM Modi to return to Brigade Parade Ground for mega rally as BJP sets eyes on Bengal polls</PAGE_TITLE>",2026-02-16T10:00:00,global,indianexpress.com,,other
gdelt_gkg,calcuttanews.net,,<PAGE_TITLE>US lags behind Estonia on free speech  EUs Kallas</PAGE_TITLE>,2026-02-16T11:00:00,global,,,other
gdelt_gkg,irrigator.com.au,,<PAGE_LINKS>https://www.carsguide.com.au/car-advice/fuel-efficiency-ratings-what-do-they-tell-you-31319;https://www.carsguide.com.au/car-advice/stop-start-systems-where-and-when-they-save-fuel-and-money-39579;https://www.carsguide.com.au/ev/advice/ev-battery-technology-explained-83111;https://www.carsguide.com.au/ford;https://www.carsguide.com.au/honda;https://www.carsguide.com.au/hyundai;https://www.carsguide.com.au/nissan;https://www.carsguide.com.au/tags/long-term;https://www.carsguide.com.au/toyota;https://www.epa.gov/newsreleases/administrator-zeldin-eliminates-cycle-credit-almost-universally-hated-start-stop</PAGE_LINKS><PAGE_PRECISEPUBTIMESTAMP>20260216090000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Annoying new car feature canned</PAGE_TITLE>,2026-02-16T13:00:00,global,www.carsguide.com.au,,other
gdelt_gkg,baltictimes.com,,"<PAGE_TITLE>'Verde' development gains momentum - 'Capitalica Asset Management' increases bond issue to EUR 4 million, completes substructure works, 25% of Building C reserved</PAGE_TITLE>",2026-02-16T14:00:00,global,,,other
gdelt_gkg,baltictimes.com,,<PAGE_TITLE>Apollo Group Begins Journey to the Stock Exchange</PAGE_TITLE>,2026-02-16T14:00:00,global,,,other
gdelt_gkg,baltictimes.com,,<PAGE_TITLE>Tallink &#xE0; la carte restaurants offer the winning menu of the Chefs' competition</PAGE_TITLE>,2026-02-16T14:00:00,global,,,other
gdelt_gkg,baltictimes.com,,<PAGE_TITLE>Exclusive urban spa to be added to Telliskivi's new building complex</PAGE_TITLE>,2026-02-16T14:00:00,global,,,other
gdelt_gkg,finanzen.ch,,<PAGE_TITLE>Estonian Inflation Eases To A 14-month Low</PAGE_TITLE>,2026-02-16T15:00:00,global,,,other
gdelt_gkg,nesn.com,,<PAGE_LINKS>https://nesn.com/teams/mlb/boston-red-sox/;https://x.com/BOSSportsGordo/status/2023040628377215360</PAGE_LINKS><PAGE_AUTHORS>Colin Keane</PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20260216165100</PAGE_PRECISEPUBTIMESTAMP><PAGE_ALTURL_AMP>https://nesn.com/2026/02/red-sox-catcher-carlos-narvaez-shares-strong-desire-to-retire-in-boston/amp/</PAGE_ALTURL_AMP><PAGE_TITLE>Red Sox Catcher Carlos Narv&#xE1;ez Shares Strong Desire To Retire In Boston</PAGE_TITLE>,2026-02-16T21:00:00,global,nesn.com,,other
gdelt_gkg,slugmag.com,,<PAGE_LINKS>https://durandjonesandtheindications.com/;https://www.instagram.com/lionelrichie/</PAGE_LINKS><PAGE_AUTHORS>Alton Barnhart</PAGE_AUTHORS><PAGE_TITLE>Local Review: Bad Luck Brigade &#x2014; NOTHING</PAGE_TITLE>,2026-02-16T21:00:00,global,durandjonesandtheindications.com,,other
gdelt_gkg,smithsonianmag.com,,"<PAGE_LINKS>https://doi.org/10.1016/j.compstruct.2022.115669;https://link.springer.com/article/10.1007/s11548-017-1545-1;https://paulino.scholar.princeton.edu/;https://science.nasa.gov/photojournal/power-origami/;https://www.gov-online.go.jp/eng/publicity/book/hlj/html/202112/202112_05_en.html;https://www.salesforce.com/company/legal/sfdc-website-terms-of-service/;https://www.salesforce.com/company/privacy/;https://www.science.org/doi/10.1126/science.1252610;https://www.sciencenews.org/;https://www.smithsonianmag.com/author/ramsha-waseem/;https://www.smithsonianmag.com/smart-news/college-sophomore-discovers-new-origami-pattern-that-could-be-used-to-build-telescopes-and-satellites-180987226/;https://www.societyforscience.org/;https://www.societyforscience.org/jic/;https://www.societyforscience.org/people/maya-ajmera/;https://www.wired.com/story/the-atomic-theory-of-origami/;https://www.youtube.com/watch</PAGE_LINKS><PAGE_AUTHORS>Ramsha Waseem</PAGE_AUTHORS><PAGE_TITLE>This 14-Year-Old Is Using Origami to Imagine Emergency Shelters That Are Sturdy, Cost-Efficient and Easy to Deploy</PAGE_TITLE>",2026-02-16T22:00:00,global,doi.org,,other
