origin_id,cluster_id,title,categories,category_count,first_category,first_published,signal_count,is_relevant,is_baltic,is_security,noise_class
878,6938,"БПЛА атаковал автомобиль в Белгородской области, есть пострадавший","{ru_proxy,russian_state}",2,russian_state,2026-03-22 05:46:00+00,3,True,False,True,
866,6847,Вчера в чешском городе Пардубице неизвестные совершили поджог офиса и склада компании по производству беспилотных…,"{ru_proxy,trusted}",2,ru_proxy,2026-03-21 11:15:24+00,2,False,False,False,other
855,6823,"«Ормузский пролив — он нам не нужен, мы им не пользуемся», - Трамп...

«Мы уже победили Иран. Что касается Ормузского…","{estonian_media,ru_proxy,unverified_anonymous}",3,ru_proxy,2026-03-20 20:49:58+00,4,False,False,False,middle_east_iran
265,5554,На Ставрополье отменили беспилотную опасность,"{russian_state,ru_state}",2,russian_state,2026-03-09 01:28:29+00,13,False,False,False,other
268,5568,Литва по примеру Эстонии запретит въезд участникам СВО,"{baltic_media,russian_state,ru_state}",3,russian_state,2026-03-11 09:41:11+00,3,True,True,False,
271,5555,Сийярто обвинил Сибигу в распространении фейков о вмешательстве России в выборы,"{russian_state,ru_state}",2,ru_state,2026-03-18 22:21:46+00,4,True,False,True,
281,5553,Дмитриев задался вопросом о будущем НАТО после слов президента США,"{russian_state,ru_state}",2,russian_state,2026-03-16 04:05:42+00,6,True,False,True,
283,5567,Песков: многие страны хотят приобрести нефть из России,"{russian_state,ru_state}",2,russian_state,2026-03-14 03:28:40+00,10,False,False,False,other
311,5651,В Запорожской области два человека погибли при ударе дрона по машине,"{russian_state,ru_state}",2,russian_state,2026-03-11 07:35:35+00,8,True,False,True,
322,5669,WADA не планирует запрещать Трампу и американским чиновникам посещать ЧМ-2026,"{russian_state,ru_state}",2,russian_state,2026-03-14 10:21:01+00,13,False,False,False,sports_culture
328,5697,"Польша требует передать орден Virtuti Militari, замеченный на аукционе Украины","{russian_state,ru_state}",2,ru_state,2026-03-18 07:32:54+00,2,True,True,False,
330,5707,Трамп: США не обязаны были помогать союзникам по НАТО с поддержкой Украины,"{baltic_media,russian_independent,russian_language_ee,ru_state,ukraine_media}",5,ru_state,2026-03-15 23:55:49+00,7,True,False,True,
334,5694,"При ударе дрона ВСУ в Запорожской области погибла семья, ранен ребенок","{russian_state,ru_state}",2,russian_state,2026-03-08 09:50:17+00,15,True,False,True,
346,5352,В Новосибирской области могут рассмотреть меры по ограничению продажи алкоголя,"{russian_independent,russian_state}",2,russian_state,2026-03-12 04:16:08+00,13,False,False,False,domestic_russia
357,5754,В аэропорту Калининграда из-за мер в Ленобласти возможны изменения расписания,"{russian_state,ru_state}",2,russian_state,2026-03-17 03:35:19+00,5,True,True,False,
359,5768,Главком НАТО Гринкевич заявил о готовности США жёстко ответить на помощь Ирану,"{estonian_media,russian_language_ee,russian_state,ru_state}",4,russian_state,2026-03-12 18:36:43+00,15,True,False,True,
380,5769,Брейдо: в ЦСКА взбешены удалением Челестини в матче с «Балтикой»,"{russian_state,ru_state}",2,russian_state,2026-03-14 19:00:02+00,15,False,False,False,sports_context
391,5844,Умер один из пострадавших при атаке ВСУ на автосервис Курска 27 февраля,"{russian_state,ru_state}",2,russian_state,2026-03-17 13:18:43+00,2,True,False,True,
395,5800,Трамп пригрозил Испании прекратить с ней торговлю,"{estonian_media,ru_proxy,russian_state}",3,russian_state,2026-03-11 18:30:07+00,11,False,False,False,other
397,5677,"Польша потребовала от Германии репарации, чтобы купить оружие","{russian_state,ru_state}",2,russian_state,2026-03-13 22:30:10+00,10,True,True,True,
399,5846,Глава Магаданской области поручил проверить состояние домов после землетрясения,"{russian_state,ru_state}",2,ru_state,2026-03-17 12:26:20+00,2,False,False,False,domestic_russia
400,5805,Туск: Польша не направит военных для поддержки операции США против Ирана,"{estonian_media,russian_state}",2,russian_state,2026-03-17 11:33:44+00,3,True,True,True,
411,5879,Мема назвал вступление Финляндии в НАТО худшим решением в истории страны,"{russian_state,ru_state}",2,russian_state,2026-03-09 01:54:17+00,12,True,True,True,
416,5850,"Великобритания, Нидерланды и Финляндия будут вместе закупать оружие и боеприпасы","{estonian_media,russian_state}",2,russian_state,2026-03-17 09:16:00+00,2,True,True,True,
418,5888,Голикова: в Петербурге форум объединенных культур пройдет с 24 по 26 сентября,"{russian_state,ru_state}",2,russian_state,2026-03-17 07:38:10+00,2,False,False,False,domestic_russia
421,5914,Польша может инициировать закон о платной эвакуации из небезопасных стран,"{polish_media,russian_state}",2,russian_state,2026-03-10 11:39:09+00,5,True,True,False,
423,5901,"Трамп утверждает, что США полностью уничтожили все военные цели на острове Харк","{russian_state,ru_state}",2,russian_state,2026-03-13 21:00:29+00,15,True,False,True,
432,5894,В Польше возле границы с Украиной нашли обломки летательного аппарата,"{estonian_media,russian_state}",2,russian_state,2026-03-16 13:08:31+00,2,True,True,True,
433,5912,Бригада ВС России «Волки» сообщила о ликвидации элитной снайперской группы ВСУ,"{russian_state,ru_state}",2,russian_state,2026-03-11 03:18:33+00,8,False,False,False,ukraine_frontline
437,5853,В Петербурге предупредили о возможном отключении мобильного интернета,"{russian_state,ru_state,unverified_anonymous}",3,ru_state,2026-03-17 08:26:39+00,3,False,False,False,other
438,5913,Иран пообещал мужественно противостоять агрессии США и Израиля,"{estonian_media,ru_proxy,russian_state}",3,russian_state,2026-03-17 06:34:37+00,3,False,False,False,middle_east_iran
441,5929,Глава СВР Польши Стружик заявил о росте пророссийских настроений в стране,"{russian_state,ru_state}",2,ru_state,2026-03-16 22:03:22+00,2,True,True,True,
442,5935,WP: сбой ИИ и ошибка разведки — возможные причины удара США по школе в Иране,"{russian_state,ru_state}",2,russian_state,2026-03-12 04:27:15+00,7,True,False,True,
447,6007,Хинштейн осудил призыв не использовать символ СВО «Z» из-за нового закона о языке,"{ru_proxy,russian_state}",2,russian_state,2026-03-16 10:54:30+00,2,False,False,False,other
456,5968,Мема: предложение Финляндии разместить ЯО посылает России опасный сигнал,"{russian_state,ru_state}",2,russian_state,2026-03-14 17:57:21+00,6,True,True,False,
457,5982,Fars: ещё по одной иранской школе нанесён удар,"{russian_state,ru_state}",2,russian_state,2026-03-10 01:18:04+00,15,True,False,True,
461,5999,Лавров напомнил о недопустимости передачи сербского оружия Киеву,"{russian_state,ru_state}",2,russian_state,2026-03-16 12:11:00+00,2,True,False,True,
464,5992,Глава МИД Германии исключил участие НАТО в открытии Ормузского пролива,"{baltic_media,estonian_media,russian_state}",3,russian_state,2026-03-16 10:42:59+00,4,True,False,True,
472,6013,«Ъ»: экс-губернатор Свердловской области Куйвашев возглавил компанию в Москве,"{russian_state,ru_state}",2,ru_state,2026-03-16 09:31:58+00,2,False,False,False,domestic_russia
477,6025,Силовики: семьи пропавших солдат ВСУ намерены добиваться встречи с Будановым,"{russian_state,ru_state}",2,russian_state,2026-03-14 03:27:50+00,2,False,False,False,ukraine_frontline
481,6012,Игумен Варфоломей рассказал о Родительских субботах во время Великого поста,"{russian_state,ru_state}",2,russian_state,2026-03-13 11:48:55+00,2,False,False,False,domestic_russia
486,6020,Россияне вновь пожаловались на сбои в работе Telegram,"{russian_independent,ru_state}",2,ru_state,2026-03-16 07:36:42+00,2,False,False,False,other
501,5802,Премьер Словении: перспективы сохранения единства НАТО будут зависеть от США,"{baltic_media,estonian_media,russian_state}",3,russian_state,2026-03-14 11:22:26+00,5,True,False,True,
