id,cluster_id,first_signal_id,first_source,first_category,first_title,first_published,signal_count,category_count,categories,is_state_origin,created_at
93,5290,1539184,rss:telegram,"",Пентагон удвоил сумму контракта до 465 млн долл. на поставку ATACMS ПрибалтикеИзначальный контракт б…,2026-03-19 07:00:07+00,2,0,,f,2026-03-22 19:43:03.021284+00
94,5277,1995852,rss:telegram,"","Россия готовит закон, разрешающий применение вооруженных сил для защиты арестованных за рубежом росс…",2026-03-20 10:27:01+00,2,0,,f,2026-03-22 19:43:03.021284+00
95,5294,2018175,rss:rss,defense_osint,U.S. Air Force looks to buy more Dronebuster 4 systems,2026-03-20 10:19:50+00,2,1,{defense_osint},f,2026-03-22 19:43:03.021284+00
96,5298,2018177,rss:rss,defense_osint,U.S. Air Force initiates F-35 sensor sustainment support contract,2026-03-20 10:06:49+00,2,1,{defense_osint},f,2026-03-22 19:43:03.021284+00
97,5299,1646906,rss:rss,estonian_media,"Blocked from naturalizing, MP suggests long-term resident seek Spanish passport",2026-03-19 12:12:00+00,4,1,{estonian_media},f,2026-03-22 19:43:03.021284+00
98,5302,2018330,rss:rss,trusted,Potential Trump-Lukashenko deal sparks new security concerns for Ukraine – expert,2026-03-20 10:00:00+00,2,2,"{trusted,ukraine_media}",f,2026-03-22 19:43:03.021284+00
99,5305,2017754,rss:rss,baltic_media,"Компания Ryanair ищет в Литве 200 работников: зарплаты, как у министров",2026-03-20 09:58:12+00,2,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
100,5306,2017755,rss:rss,baltic_media,После сноса части забора у Науседы инспекция не видит оснований для новой проверки,2026-03-20 09:58:00+00,2,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
101,5291,1118266,rss:telegram,"","Keskerakonna parlamendirühma esimees Lauri Laats ütles, et toiduhinnad tõusevad Lähis-Ida olukorra t…",2026-03-18 05:58:46+00,2,0,,f,2026-03-22 19:43:03.021284+00
102,5300,504803,rss:telegram,"",Главное о новостях Европы и ближнего зарубежья:Живёт же Беларусь!: Если Венгрия и Словакия продолжат…,2026-03-16 17:33:19+00,5,0,,f,2026-03-22 19:43:03.021284+00
103,5308,1984210,rss:rss,trusted,US decision to lift sanctions against Belarus likely to aid Russia’s war effort – ISW,2026-03-20 09:39:00+00,2,2,"{trusted,ukraine_media}",f,2026-03-22 19:43:03.021284+00
104,5273,341721,rss:rss,baltic_media,Middle East conflict: is an increase in migration to Latvia expected?,2026-03-16 07:35:34+00,5,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
105,5278,341186,rss:rss,baltic_media,Литва не поддерживает призыв Венгрии снять санкции с российского энергосектора,2026-03-16 08:13:35+00,6,3,"{baltic_media,russian_language_ee,ru_state}",f,2026-03-22 19:43:03.021284+00
106,5286,2040118,RVvoenkor,ru_proxy,"🇺🇦😂🇺🇸 Отправленные на Ближний Восток ВСУшники оказались в шоке от того, как военные США сбивают иранские дроны, —…",2026-03-20 11:11:30+00,4,2,"{ru_proxy,unverified_commentator}",t,2026-03-22 19:43:03.021284+00
107,5275,528462,rss:telegram,"","""Знай свое место"": какой гражданин нужен Прибалтике к 2026 годуРусофобия как государственная идеолог…",2026-03-16 18:58:01+00,3,0,,f,2026-03-22 19:43:03.021284+00
108,5307,1240949,rss:rss,baltic_media,В ближайшие недели не жду ничего хорошего — Ринкевич о войне на Ближнем Востоке,2026-03-18 12:02:04+00,3,2,"{baltic_media,estonian_media}",f,2026-03-22 19:43:03.021284+00
109,5276,53263,rss:rss,russian_state,Минтранс сообщил о прохождении пика ледовой обстановки в Финском заливе,2026-03-10 09:26:37+00,2,1,{russian_state},t,2026-03-22 19:43:03.021284+00
110,5304,393881,rss:telegram,"","НАТО следует помочь США в открытии Ормузского пролива, уверен глава МИД Литвы""Страны НАТО должны рас…",2026-03-16 11:24:01+00,7,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
111,5274,47217,rss:rss,estonian_media,Юхан Партс: у эстонской энергетики лишь два реалистичных варианта - АЭС или сланец,2026-03-08 04:43:00+00,2,1,{estonian_media},f,2026-03-22 19:43:03.021284+00
112,5312,1983699,rss:rss,baltic_media,Tax breaks in Latvia's Special Economic Zones extended until 2050,2026-03-20 09:13:57+00,2,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
113,5316,1983245,rss:rss,russian_language_ee,В начале июня вновь состоится благотворительное «Утиное ралли»,2026-03-20 08:56:23+00,2,1,{russian_language_ee},f,2026-03-22 19:43:03.021284+00
114,5207,1984282,rss:rss,russian_state,Visa запретила расчеты в ЕС карточками трех белорусских банков,2026-03-20 08:45:00+00,6,2,"{russian_independent,russian_state}",t,2026-03-22 19:43:03.021284+00
115,5337,1950212,rss:rss,russian_language_ee,В Эстонии почти 12 000 детей живут в условиях абсолютной бедности,2026-03-20 07:00:57+00,2,1,{russian_language_ee},f,2026-03-22 19:43:03.021284+00
116,5332,2039656,sternenko,unverified_commentator,Завтра буде дуже важливий великий збір. Готуйте по 100 гривень. Будемо закривати термінову потребу фронту із огляду на…,2026-03-20 06:42:03+00,3,1,{unverified_commentator},f,2026-03-22 19:43:03.021284+00
117,5323,1949950,rss:rss,baltic_media,Roads near Balvi damaged due to border construction works,2026-03-20 07:26:00+00,4,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
118,5348,701906,rss:rss,baltic_media,Pasienyje su Baltarusija apgręžta 15 neteisėtų migrantų,2026-03-17 05:34:03+00,7,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
119,5338,1950072,rss:rss,baltic_media,В Польше дан старт ЧМ-2026 по легкой атлетике в помещении: будут Латвия и Дюплантис,2026-03-20 07:00:00+00,2,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
120,5330,1523334,rss:telegram,"",🇱🇻 Смена вывески. Взгляд со стороны на латвийские выборыВ Латвии осенью выборы в парламент. Риторика…,2026-03-19 06:20:10+00,4,0,,f,2026-03-22 19:43:03.021284+00
121,5339,1950074,rss:rss,baltic_media,Живущая в Ливане латышка: каждый день и каждую ночь над нами летят военные самолеты и дроны,2026-03-20 06:31:00+00,2,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
122,5347,807237,rss:telegram,"","Отношения ЕС с Венгрией близки к разрыву, сообщил представитель Латвии в группе поддержки вступления…",2026-03-17 11:31:20+00,2,0,,f,2026-03-22 19:43:03.021284+00
123,6125,76914,rss:rss,baltic_media,"Россия может искать следующую жертву, но Латвия уже не легкая цель — командующий НВС",2026-03-14 06:50:00+00,2,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
124,5295,328975,rss:gdelt,"","GDELT [Ostrov-airbase]: Iran wants  serious review  of Gulf ties , denies role in Saudi oil attacks",2026-03-16 06:15:00+00,15,1,{defense_osint},f,2026-03-22 19:43:03.021284+00
125,5344,1950076,rss:rss,baltic_media,Резня в доме «Сприньги»: как отставной красноармеец вместе с собутыльниками убил соседей,2026-03-20 06:00:00+00,2,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
126,5311,375104,rss:rss,baltic_media,Социал-демократы подтвердили участие в президентской гонке 2029 года,2026-03-16 09:37:12+00,5,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
127,5346,109333,rss:rss,counter_disinfo,Foreign Information Manipulation and Interference (FIMI) explained,2026-03-15 11:00:28+00,7,1,{counter_disinfo},f,2026-03-22 19:43:03.021284+00
128,5341,62644,rss:rss,russian_state,Главные новости к утру 13 марта,2026-03-13 02:01:10+00,4,1,{russian_state},t,2026-03-22 19:43:03.021284+00
129,5152,1308899,rss:rss,russian_independent,Депутат от «Единой России» извинился перед фермерами за принудительный забой скота — «от лица власти Новосибирской области»,2026-03-18 15:53:35+00,15,3,"{ru_proxy,russian_independent,russian_state}",f,2026-03-22 19:43:03.021284+00
130,5322,1983858,rss:rss,russian_state,В Исфахане оценили ущерб объектам культурного наследия от ударов США и Израиля,2026-03-20 08:33:05+00,2,2,"{russian_independent,russian_state}",t,2026-03-22 19:43:03.021284+00
131,5336,1539185,rss:telegram,"","МОЖЕТ ЛИ УКРАИНЕЦ ПУБЛИЧНО ОСКОРБЛЯТЬ ПРЕЗИДЕНТА ПОЛЬШИ?❗️Ответ – ДА, МОЖЕТ.Как мы видим, за годы ак…",2026-03-19 07:13:56+00,3,0,,f,2026-03-22 19:43:03.021284+00
132,5334,1681599,rss:rss,estonian_media,Департамент охраны памятников: Горхолл по-прежнему очень ценен и должен сохраниться,2026-03-19 14:38:00+00,3,2,"{estonian_media,russian_language_ee}",f,2026-03-22 19:43:03.021284+00
133,5333,50348,rss:rss,russian_state,"«Оттава» обыграла «Ванкувер» в матче НХЛ, у Зуба два ассиста",2026-03-10 03:30:25+00,12,2,"{russian_state,ru_state}",t,2026-03-22 19:43:03.021284+00
