cluster_id,signal_id,source_type,title,published_at,region,source_category,channel,feed_handle
5191,864599,telegram,"🇧🇾🇵🇱🇱🇹Пока Тихановская, Латушко и их свита в ЕС занимаются политическим эскортом — выпрашивают новые…",2026-03-17 15:01:05+00,global,,,
5191,1201484,telegram,"Действия Белоруссии по задержанию грузовиков ""неприемлемы и необоснованны"", заявили в ЕврокомиссииВ …",2026-03-18 11:13:01+00,global,,,
5191,2021955,telegram,"❗️Белоруссия вернет Литве задержанные фуры и, возможно, уменьшит счет за их стоянку, заявил Александ…",2026-03-20 11:32:53+00,global,,,
5191,2051679,rss,Linava подтвердила: в понедельник Лукашенко примет решение об освобождении задержанных в Беларуси грузовиков,2026-03-21 04:08:32+00,,,,delfi_lt_rus
5237,1680126,rss,США снимают санкции с двух белорусских банков и Минфина,2026-03-19 15:12:24+00,global,russian_state,,tass_ru
5237,1680397,rss,"США решили снять санкции с «Беларуськалия», двух банков и Минфина Белоруссии",2026-03-19 15:20:40+00,global,russian_state,,kommersant
5237,1715294,rss,Trump envoy announces lifting of US sanctions on Belarusian banks and potash industry,2026-03-19 15:33:00+00,global,ukraine_media,,pravda_en
5237,1680286,rss,"США снимут санкции с ""Беларуськалия"" и двух банков",2026-03-19 15:35:00+00,global,russian_state,,interfax
5237,2022508,rss,"Советник премьера: решения США – это вопрос их национальной политики, позиция Литвы не меняется",2026-03-20 04:22:09+00,global,,,delfi_lt_rus
5237,1917218,rss,"Советник премьера: решения США – это вопрос их национальной политики, позиция Литвы не меняется",2026-03-20 04:22:09+00,global,baltic_media,,delfi_lt_rus
5237,2022501,rss,Санкции США против Беларуси частично сняты: почему Литва считает это угрозой региону,2026-03-20 08:44:00+00,global,,,delfi_lt_rus
5237,1983998,rss,Санкции США против Беларуси частично сняты: почему Литва считает это угрозой региону ,2026-03-20 08:44:00+00,global,baltic_media,,delfi_lt_rus
5237,2017745,rss,"Эфир Delfi: Лукашенко отпустил политзаключенных, США снимают санкции, как в Литве относятся к беларусам?",2026-03-20 10:31:49+00,global,baltic_media,,delfi_lt_rus
5237,2022495,rss,"Эфир Delfi: Лукашенко отпустил политзаключенных, США снимают санкции, как в Литве относятся к беларусам?",2026-03-20 10:31:49+00,global,,,delfi_lt_rus
5237,2011623,telegram,"🇱🇹 Коалиция договаривается с Трампом, оппозиция — кусает локтиСША сняли санкции с «Беларуськалия», б…",2026-03-20 10:59:58+00,global,,,
5237,2041146,rss,"МИД: несмотря на решения США, Литва продолжает эффективно применять санкции против Беларуси",2026-03-20 14:36:11+00,global,,,delfi_lt_rus
5264,68098,rss,"Восемь европейских стран призвали запретить въезд в ЕС россиянам, участвовавшим в войне с Украиной",2026-03-13 10:15:45+00,global,estonian_media,,
5264,187857,rss,Страны ЕС требуют от Еврокомиссии мер против возможного въезда российских участников боевых действий,2026-03-13 12:00:43+00,global,T2,,delfi_lt_rus
5264,66900,rss,Восемь стран ЕС призвали запретить въезд участникам военной операции на Украине,2026-03-13 12:03:32+00,global,russian_state,,
5264,84105,rss,Восемь стран ЕС призвали запретить въезд участникам военной операции на Украине,2026-03-13 14:03:32+00,global,RU_STATE,,kommersant
5264,68820,rss,"Восемь стран, включая Эстонию, просят ЕС запретить въезд в Шенген военным РФ",2026-03-13 14:40:01+00,global,pro_kremlin,,
5264,1510738,rss,Кристен Михал потребует в Брюсселе единого запрета на въезд для российских комбатантов,2026-03-19 05:34:00+00,global,estonian_media,,err_rus
5264,1546022,rss,Михал в Брюсселе предложит ввести единый запрет на въезд для российских военных,2026-03-19 07:20:29+00,global,russian_language_ee,,tribuna_ee
5264,2038127,rss,Михал в Брюсселе: необходимо сохранять давление и вводить новые санкции против РФ,2026-03-20 12:30:43+00,global,,,tribuna_ee
5268,2039516,telegram_channel,"👀Пишуть, 59 ОШБр щойно збила FPV-дроном ворожий Ка-52 на Покровському напрямку.

$1000 знищили $16 млн…",2026-03-20 11:36:31+00,global,,truexanewsua,
5268,2039577,telegram_channel,"Донеччина. Ворожий Ка-52 догорає на землі після вимушеної посадки, спричиненої влучанням FPV-дрона 59 ОШБр.",2026-03-20 11:37:14+00,global,,lachentyt,
5268,2039789,telegram_channel,"FPV-дрон буквально только что сбил российский Ка-52 на Покровском направлении, — военные

Ждем видео 🔥",2026-03-20 11:38:06+00,global,,uniannet,
5268,2039664,telegram_channel,На Покровському напрямку бійці 59 ОШБр збили FPV-дроном російський Ка-52.,2026-03-20 11:38:16+00,global,,sternenko,
5268,2038689,rss,Russian Ka-52 helicopter downed by Ukrainian drone – video,2026-03-20 11:52:00+00,global,,,pravda_en
5268,2039665,telegram_channel,На Покровському напрямку бійці 59 ОШБр збили FPV-дроном російський Ка-52.,2026-03-20 11:58:20+00,global,,sternenko,
5268,2038521,rss,Ukraine downs Russian Ka-52 helicopter with FPV drone,2026-03-20 12:17:32+00,global,,,defence_blog
5268,2039678,telegram_channel,"💥🔥 У россиян снова минус – вертолет Ка-52 отрицательно взлетел после встречи с добрым дроном

🟢Ка-52 – до…",2026-03-20 12:22:26+00,global,,gerashchenko,
5268,2039416,telegram_channel,"На Покровському напрямку Донеччини українські пілоти збили російський гелікоптер Ка-52 та ліквідували його екіпаж, який…",2026-03-20 12:33:34+00,global,,suspilne_news,
5268,2039446,telegram_channel,Objective control footage shows the Russian Ka-52 burning out in a field.,2026-03-20 12:36:43+00,global,,wartranslated,
5268,2039799,telegram_channel,"Стало известно, каким FPV-дроном был сбит российский Ка-52

Поразить вражеский борт удалось пилотам экипажа ""Балтика""…",2026-03-20 13:41:21+00,global,,uniannet,
